"","provincia","accidentes_victimas","accidentes_mortales","fallecidos","heridos_hospitalizados","heridos_no_hospitalizados","tipo_via","año"
"380","Cuenca",216,11,13,63,280,"Vias interurbanas",2016
"381","Girona",1290,31,40,165,1747,"Vias interurbanas",2016
"382","Granada",858,21,24,110,1283,"Vias interurbanas",2016
"383","Guadalajara",185,5,5,33,245,"Vias interurbanas",2016
"384","Gipuzkoa",946,12,13,134,1149,"Vias interurbanas",2016
"385","Huelva",438,15,15,51,648,"Vias interurbanas",2016
"386","Huesca",285,14,15,77,334,"Vias interurbanas",2016
"387","Jaén",405,20,21,77,572,"Vias interurbanas",2016
"388","León",489,11,12,104,646,"Vias interurbanas",2016
"389","Lleida",867,33,33,129,1171,"Vias interurbanas",2016
"390","Rioja (La)",263,17,21,25,381,"Vias interurbanas",2016
"391","Lugo",355,27,29,88,443,"Vias interurbanas",2016
"392","Madrid",3154,54,61,202,4368,"Vias interurbanas",2016
"393","Málaga",862,34,36,142,1264,"Vias interurbanas",2016
"394","Murcia",375,32,39,101,525,"Vias interurbanas",2016
"395","Navarra",251,18,19,69,300,"Vias interurbanas",2016
"396","Ourense",232,11,12,59,284,"Vias interurbanas",2016
"397","Asturias",897,25,26,131,1247,"Vias interurbanas",2016
"398","Palencia",143,9,11,36,189,"Vias interurbanas",2016
"399","Palmas (Las)",681,25,27,91,981,"Vias interurbanas",2016
"400","Pontevedra",1163,29,30,180,1719,"Vias interurbanas",2016
"401","Salamanca",273,7,7,39,377,"Vias interurbanas",2016
"402","Santa Cruz de Tenerife",1125,18,18,167,1593,"Vias interurbanas",2016
"403","Cantabria",546,10,10,58,795,"Vias interurbanas",2016
"404","Segovia",207,14,15,29,287,"Vias interurbanas",2016
"405","Sevilla",1170,32,39,164,1831,"Vias interurbanas",2016
"406","Soria",102,15,18,31,127,"Vias interurbanas",2016
"407","Tarragona",1133,36,52,129,1558,"Vias interurbanas",2016
"408","Teruel",146,8,9,52,169,"Vias interurbanas",2016
"409","Toledo",640,33,36,112,871,"Vias interurbanas",2016
"410","Valencia/València",1759,50,52,235,2401,"Vias interurbanas",2016
"411","Valladolid",324,12,14,46,468,"Vias interurbanas",2016
"412","Bizkaia",969,17,17,59,1327,"Vias interurbanas",2016
"413","Zamora",112,15,17,41,151,"Vias interurbanas",2016
"414","Zaragoza",608,32,37,86,833,"Vias interurbanas",2016
"415","Ceuta",41,0,0,5,58,"Vias interurbanas",2016
"416","Melilla",0,0,0,0,0,"Vias interurbanas",2016
"417","Araba/Álava",667,3,3,36,741,"Vias urbanas",2015
"418","Albacete",449,6,6,31,526,"Vias urbanas",2015
"419","Alicante/Alacant",1481,26,26,189,1660,"Vias urbanas",2015
"420","Almería",219,5,5,38,258,"Vias urbanas",2015
"421","Ávila",177,0,0,17,228,"Vias urbanas",2015
"422","Badajoz",478,6,6,36,644,"Vias urbanas",2015
"423","Balears (Illes)",2189,11,11,143,2627,"Vias urbanas",2015
